genomeIDs	original_lineage	recombinant_parents	breakpoint_count	case_report_folder
ON022511.1	A.1	A.1.NmC2 + A.1.NmC1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_ON022511.1
ON022433.1	A.1	A.1.NmC2 + A.1.NmC1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_ON022433.1
ON022316.1	A.1	A.1.NmC2 + A.1.NmC1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_ON022316.1
ON022449.1	A.1	A.1.NmC2 + A.1.NmC1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_ON022449.1
ON022593.1	A.1	A.1.NmC2 + A.1.NmC1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_ON022593.1
ON022312.1	A.1	A.1.NmC2 + A.1.NmC1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_ON022312.1
ON022465.1	A.1	A.1.NmC2 + A.1.NmC1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_ON022465.1
ON022394.1	A.1	A.1.NmC2 + A.1.NmC1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_ON022394.1
ON022291.1	A.1	A.1.NmC2 + A.1.NmC1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_ON022291.1
ON022293.1	A.1	A.1.NmC2 + A.1.NmC1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_ON022293.1
ON022294.1	A.1	A.1.NmC2 + A.1.NmC1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_ON022294.1
ON022733.1	A.1	A.1.NmC2 + A.1.NmC1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_ON022733.1
ON022286.1	A.1	A.1.NmC2 + A.1.NmC1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_ON022286.1
ON022304.1	A.1	A.1.NmC2 + A.1.NmC1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_ON022304.1
ON022283.1	A.1	A.1.NmC2 + A.1.NmC1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_ON022283.1
ON022549.1	A.1	A.1.NmC2 + A.1.NmC1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_ON022549.1
OP508595.1	A.1	A.1.NmC1 + A.1 + A.1.NmC1	2BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_OP508595.1
OP508603.1	A.1	A.1.NmC1 + A.1 + A.1.NmC1	2BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_OP508603.1
JF912179.1	A.1	A.1.NmC2 + A.1 + A.1.NmC2	2BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_JF912179.1
JF912181.1	A.1	A.1 + A.1.NmC2 + A.1	2BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_JF912181.1
JF912183.1	A.1	A.1.NmC2 + A.1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_JF912183.1
JF912184.1	A.1	A.1.NmC2 + A.1 + A.1.NmC2	2BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_JF912184.1
JF912186.1	A.1	A.1.NmC2 + A.1 + A.1.NmC2	2BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_JF912186.1
MF004382.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_MF004382.1
MH018100.1	A.1	A.1.NmC2 + A.1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_MH018100.1
MH018101.1	A.1	A.1.NmC2 + A.1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_MH018101.1
MW158338.1	A.1	A.1.NmC2 + A.1 + A.1.NmC2	2BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_MW158338.1
MW158343.1	A.1	A.1.NmC2 + A.1 + A.1.NmC2	2BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_MW158343.1
MW158345.1	A.1	A.1.NmC2 + A.1 + A.1.NmC2	2BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_MW158345.1
MW158346.1	A.1	A.1.NmC2 + A.1 + A.1.NmC2	2BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_MW158346.1
MW158359.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_MW158359.1
MW158361.1	A.1	A.1 + A.1.NmC2	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_MW158361.1
ON022716.1	A.1	A.1.NmC2 + A.1.NmC1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_ON022716.1
PQ181571.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_PQ181571.1
PQ441955.1	A.1	A.1.NmC2 + A.1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_PQ441955.1
OP508607.1	A.1	A.1 + A.1.NmC1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_OP508607.1
OP508611.1	A.1	A.1.NmC1 + A.1 + A.1.NmC1	2BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_OP508611.1
OP508620.1	A.1	A.1.NmC1 + A.1 + A.1.NmC1	2BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_OP508620.1
OP508621.1	A.1	A.1.NmC1 + A.1 + A.1.NmC1	2BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_OP508621.1
OP508634.1	A.1	A.1.NmC1 + A.1 + A.1.NmC1	2BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_OP508634.1
OP508637.1	A.1	A.1.NmC1 + A.1 + A.1.NmC1	2BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_OP508637.1
OP508639.1	A.1	A.1 + A.1.NmC1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_OP508639.1
OP508641.1	A.1	A.1.NmC1 + A.1 + A.1.NmC1	2BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_OP508641.1
OP508571.1	A.1	A.1.NmC2 + A.1.NmC1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_OP508571.1
OP508653.1	A.1	A.1.NmC1 + A.1.NmC2 + A.1.NmC1	2BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_OP508653.1
OP508655.1	A.1	A.1.NmC1 + A.1 + A.1.NmC1	2BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_OP508655.1
OP508701.1	A.1	A.1.NmC1 + A.1 + A.1.NmC1	2BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_OP508701.1
OP508707.1	A.1	A.1.NmC1 + A.1.NmC1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_OP508707.1
OP508697.1	A.1	A.1.NmC1 + A.1 + A.1.NmC1	2BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_OP508697.1
OP508672.1	A.1	A.1.NmC1 + A.1 + A.1.NmC1	2BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_OP508672.1
OP508670.1	A.1	A.1 + A.1.NmC1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_OP508670.1
OP508674.1	A.1	A.1.NmC1 + A.1 + A.1.NmC1	2BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_OP508674.1
OP508673.1	A.1	A.1.NmC1 + A.1 + A.1.NmC1	2BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_OP508673.1
OP508579.1	A.1	A.1.NmC2 + A.1.NmC1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_OP508579.1
PQ276811.1	A.1	A.1.NmC2 + A.1.NmC1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_PQ276811.1
PV710608.1	A.1	A.1.NmC2 + A.1.NmC1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_PV710608.1
OR237970.1	A.1	A.1.NmC2 + A.1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_OR237970.1
PP477075.1	A.1	A.1 + A.1.NmC2 + A.1	2BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_PP477075.1
PP869888.1	A.1	A.1.NmC2 + A.1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_PP869888.1
PV710606.1	A.1	A.1 + A.1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_PV710606.1
PV710607.1	A.1	A.1.NmC2 + A.1.NmC1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_PV710607.1
PV710587.1	A.1	A.1.NmC2 + A.1.NmC1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_PV710587.1
PV710596.1	A.1	A.1.NmC1 + A.1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_PV710596.1
PV710593.1	A.1	A.1.NmC1 + A.1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_PV710593.1
PV710595.1	A.1	A.1 + A.1.NmC2 + A.1	2BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_PV710595.1
PV710597.1	A.1	A.1 + A.1.NmC2 + A.1	2BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_PV710597.1
PV710599.1	A.1	A.1.NmC1 + A.1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_PV710599.1
PV710600.1	A.1	A.1.NmC1 + A.1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_PV710600.1
PV710602.1	A.1	A.1.NmC1 + A.1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_PV710602.1
PV710603.1	A.1	A.1.NmC1 + A.1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_PV710603.1
PV710604.1	A.1	A.1.NmC1 + A.1	1BP	results/recombinhunt_output/yellow-fever/dist3size10/structured_reports/case_3_A.1_PV710604.1
